incident_id,incident_date,terminal_id,severity,category,description_text,resolution_text,days_to_resolve
INC0001,2025-07-04,T003,critical,marine,Crane CR-03 at Port Lands Terminal experienced hydraulic failure during container lift. Boom arm locked at 12m height. Emergency protocols activated and area cleared within 6 minutes. Hydraulic line replaced after 3-hour shutdown. No injuries.,Hydraulic coupling replaced with upgraded model. Inspection interval reduced. Similar cranes fleet-wide inspected within 48 hours.,9
INC0002,2025-10-02,T002,high,equipment,Oil sheen observed on Toronto Harbour surface near Cherry Street Terminal. Estimated 30L diesel from vessel during fueling. Containment boom deployed within 10 minutes. Toronto Port Authority environmental team responded. Transport Canada notified.,Containment and cleanup completed. Fueling procedures updated to require secondary containment verification. Vessel crew briefed.,25
INC0003,2025-07-23,T004,medium,weather,Unauthorized individual attempted to access Outer Harbour Terminal perimeter via Leslie Street Spit pathway. Security cameras detected breach at 0215h. Toronto Police notified. Individual apprehended — determined to be a lost cyclist.,Perimeter security enhanced along Leslie Street Spit boundary. Additional signage and motion-sensor lighting installed.,1
INC0004,2025-07-24,T002,medium,security,Container gantry CG-05 at Terminal 51 reported unusual vibration during morning operations. Preventive shutdown per protocol. Bearing wear detected in trolley mechanism. Repair scheduled during overnight maintenance window.,Bearing replaced. Vibration monitoring sensors added to trolley mechanisms. Predictive maintenance schedule updated.,21
INC0005,2025-10-23,T002,low,security,Severe thunderstorm with 80km/h wind gusts caused port operations shutdown for 6 hours. Two vessels at anchor in Toronto Harbour. Gardiner Expressway flooding limited truck access to port for 3 hours. CN Rail service suspended.,Post-storm debrief conducted. Earlier shutdown triggers established. Coordination with City of Toronto on Gardiner access improved.,12
INC0006,2025-04-07,T001,low,equipment,Near-miss: bulk carrier Algoma Guardian lost steerage in cross-current near Western Channel entrance. Vessel drifted within 25m of Toronto Island ferry dock. Two harbour tugs assisted. Transport Canada investigating.,Pilot procedures for Western Channel updated. Tug escort mandatory when cross-currents exceed 3 knots. VTS monitoring enhanced.,10
INC0007,2025-06-20,T005,low,environmental,"Worker injury at Port Lands Terminal. Dock worker sustained hand laceration from damaged container lashing. First aid on-site, worker transported to St. Michael's Hospital. Ontario Ministry of Labour notified.",Lashing equipment inspection protocol revised. Damaged equipment tagging system implemented. Additional PPE training conducted.,21
INC0008,2025-10-24,T001,high,weather,Chemical drum leak in container yard at Cherry Street Terminal. Leaking industrial adhesive discovered during inspection. Hazmat team deployed. 15L release contained to concrete pad. Area quarantined 2 hours.,Container inspection frequency increased for chemical cargo. Origin shipper placed on enhanced monitoring list.,1
INC0009,2025-05-15,T003,low,safety,Vessel CSL Welland reported smoke alarm in engine compartment while at berth at Terminal 51. Toronto Fire Services responded. Small electrical fire extinguished by crew. No injuries. Terminal ops resumed after 90-minute assessment.,Electrical system inspection completed. Vessel cleared by classification society. Terminal fire response plan confirmed adequate.,14
INC0010,2025-10-07,T002,low,security,Drone observed over Commissioners Street Wharf container storage at 2230h. Flight lasted 10 minutes. Security footage captured but operator unidentified. NAV CANADA and Transport Canada Aviation Security notified.,Counter-drone detection system evaluation initiated. Night patrol frequency doubled in container storage areas.,11
INC0011,2025-08-04,T005,medium,marine,Ice accumulation on crane rails at Terminal 51 following freezing rain. Two gantry cranes unable to traverse full rail. De-icing crews deployed. Operations at 50% capacity for 10 hours during treatment.,Rail heating system maintenance schedule accelerated. Pre-treatment protocol for freezing rain forecasts established.,2
INC0012,2025-07-13,T002,critical,safety,Medical emergency at Port Lands Terminal gate. Truck driver experienced diabetic episode while in queue. Terminal first responders and Toronto EMS responded within 5 minutes. Driver stabilized.,Additional medical supplies staged at gate areas. EMS response coordination with Toronto Paramedic Services confirmed.,4
INC0013,2025-11-24,T004,critical,safety,Aggregate shipment from Hamilton found contaminated with non-permitted material during unloading at Outer Harbour Terminal. Ontario Ministry of Environment inspector halted operations. 800 tonnes held for testing.,Enhanced material testing at origin required. Shipper notified of contamination. Ministry of Environment audit ongoing.,10
INC0014,2025-07-15,T004,medium,equipment,High winds exceeding 70km/h from Lake Ontario triggered automatic crane shutdown across all terminals. Six vessels delayed. Port reduced to safety monitoring for 5 hours. Economic impact estimated $2.1M.,Wind threshold procedures confirmed appropriate. Enhanced marine weather alerting from Environment Canada liaison improved.,5
INC0015,2025-05-05,T002,high,equipment,Ballast water discharge violation detected from vessel at Port Lands Terminal. Water samples showed non-compliant biological content under Canada Shipping Act. Vessel detained pending management plan review.,Ballast water sampling enhanced at all berths. Pre-arrival documentation now mandatory per port policy.,8
INC0016,2025-11-04,T001,low,safety,Collision between two forklifts in container yard at Cherry Street Terminal during early morning fog. Minor damage to both units. No injuries. Root cause: reduced visibility and inoperative warning beacon on unit FL-08.,Fog operations protocol updated. Warning beacons inspection frequency doubled. Yard speed reduced to 10km/h in low visibility.,10
INC0017,2025-09-08,T002,high,security,Suspicious package found near Terminal 51 visitor parking area. Area cordoned off. Toronto Police explosive unit called. Package determined to be discarded construction materials after 2-hour investigation.,Security sweep procedures reviewed. Visitor parking surveillance upgraded. Coordination with Toronto Police enhanced.,21
INC0018,2025-07-28,T001,medium,safety,Lake Ontario water levels rose above flood threshold at Cherry Street Terminal low-lying berths. Two berths taken out of service. Sandbag barriers deployed. Vessels redirected to Port Lands Terminal.,Flood monitoring sensors installed at low-lying berths. Automatic alert system triggers at 75.8m lake level.,19
INC0019,2025-04-24,T004,critical,safety,Labour dispute: brief work stoppage by terminal workers at Commissioners Street Wharf over scheduling disagreements. 80 workers off job for 2 hours. Port Authority mediation resolved issues.,Scheduling dispute resolution process formalized with union representatives. Monthly joint committee meetings established.,16
INC0020,2025-04-11,T004,low,safety,Container stack shift at Outer Harbour Terminal. Three containers in a five-high stack tilted during wind event. No collapse. Area evacuated as precaution. Stacking procedures reviewed.,Stacking assessment revised: max 4-high when wind exceeds 45km/h. Twist-lock verification mandatory after positioning.,13
INC0021,2025-05-16,T002,medium,equipment,Cybersecurity alert: suspicious login attempts detected on PortsToronto terminal operating system. IT security blocked IPs. No breach confirmed. Password rotation enforced for all port staff.,Hydraulic coupling replaced with upgraded model. Inspection interval reduced. Similar cranes fleet-wide inspected within 48 hours.,25
INC0022,2025-04-16,T005,medium,security,Noise complaints from residents near Cherry Street Terminal regarding overnight loading operations. City of Toronto bylaw enforcement attended. Noise mitigation measures — revised truck routing and reduced night operations.,Containment and cleanup completed. Fueling procedures updated to require secondary containment verification. Vessel crew briefed.,16
INC0023,2025-06-22,T002,medium,equipment,False fire alarm in Terminal 51 administrative building triggered by HVAC malfunction. Building evacuated 20 minutes. Toronto Fire attended and confirmed false alarm.,Perimeter security enhanced along Leslie Street Spit boundary. Additional signage and motion-sensor lighting installed.,17
INC0024,2025-10-02,T005,low,marine,Partially submerged debris reported by harbour pilot near Eastern Channel. Identified as construction waste from nearby Villiers Island development. City notified. Marine traffic given 50m clearance.,Bearing replaced. Vibration monitoring sensors added to trolley mechanisms. Predictive maintenance schedule updated.,21
INC0025,2025-05-16,T005,medium,security,Refrigerated container power failure at Port Lands Terminal. Unit with $120K pharmaceutical cargo reached critical temp. Excursion lasted 3 hours before discovery. Cargo total loss. Insurance claim filed.,Post-storm debrief conducted. Earlier shutdown triggers established. Coordination with City of Toronto on Gardiner access improved.,20
INC0026,2025-11-18,T003,low,environmental,Multi-vehicle incident on Commissioners Street access road. Truck trailer clipped parked vehicle exiting terminal. Minor damage. Road partially blocked 45 minutes. No injuries.,Pilot procedures for Western Channel updated. Tug escort mandatory when cross-currents exceed 3 knots. VTS monitoring enhanced.,12
INC0027,2025-06-23,T001,high,security,Vessel Federal Biscay dragged anchor during sudden squall in Toronto Harbour. Moved 150m before engines engaged. No contact with other vessels. Harbour master issued weather advisory.,Lashing equipment inspection protocol revised. Damaged equipment tagging system implemented. Additional PPE training conducted.,12
INC0028,2025-10-02,T001,medium,equipment,CBSA officers discovered undeclared restricted goods in cargo at Cherry Street Terminal from US-origin shipment. Items seized. Importer investigation initiated jointly with RCMP.,Container inspection frequency increased for chemical cargo. Origin shipper placed on enhanced monitoring list.,18
INC0029,2025-08-17,T005,high,equipment,Complete power failure at Outer Harbour Terminal for 2 hours due to Toronto Hydro grid issue. Backup generators activated within 15 minutes. Reefer containers maintained power. Two cranes inoperable.,Electrical system inspection completed. Vessel cleared by classification society. Terminal fire response plan confirmed adequate.,19
INC0030,2025-10-18,T002,low,security,"Fuel spill during vessel bunkering at Terminal 51. Approximately 100L marine diesel released to harbour. Federal spill response activated. Boom deployed. Cleanup completed in 24 hours. Fine of $40,000 issued.",Counter-drone detection system evaluation initiated. Night patrol frequency doubled in container storage areas.,15
INC0031,2025-09-28,T002,medium,security,Crack discovered in berth wall at Cherry Street Terminal during annual underwater inspection. 1.8m crack in concrete below waterline. Berth restricted to vessels under 150m pending engineering assessment.,Rail heating system maintenance schedule accelerated. Pre-treatment protocol for freezing rain forecasts established.,14
INC0032,2025-10-23,T003,medium,equipment,Dust issue at Outer Harbour Terminal aggregate handling area. PM10 readings exceeded Ontario air quality standard at site boundary. Operations adjusted. Additional water suppression deployed.,Additional medical supplies staged at gate areas. EMS response coordination with Toronto Paramedic Services confirmed.,20
INC0033,2025-07-21,T005,medium,marine,Container weight discrepancy: verified gross mass checks at Port Lands Terminal found 12% of containers over declared weight by >5%. Three containers over by >15%. Enhanced weighing enforced.,Enhanced material testing at origin required. Shipper notified of contamination. Ministry of Environment audit ongoing.,22
INC0034,2025-06-06,T001,low,weather,Worker near-miss: steel coil shifted during offloading at Terminal 51. Coil rolled 2m on deck before secured. No personnel in path. Lashing procedure review initiated. Safety stand-down conducted.,Wind threshold procedures confirmed appropriate. Enhanced marine weather alerting from Environment Canada liaison improved.,22
INC0035,2025-08-20,T002,low,equipment,Toronto Harbour ferry route temporarily disrupted by cargo vessel maneuver near Western Channel. Ferry delayed 12 minutes. Coordination protocol between PortsToronto and city ferry service reviewed.,Ballast water sampling enhanced at all berths. Pre-arrival documentation now mandatory per port policy.,20
INC0036,2025-08-02,T004,high,marine,Illegal dumping discovered at perimeter of Commissioners Street Wharf. Construction debris from unknown source. Security cameras checked. Environmental assessment confirmed no hazardous materials.,Fog operations protocol updated. Warning beacons inspection frequency doubled. Yard speed reduced to 10km/h in low visibility.,1
INC0037,2025-04-19,T002,high,security,Protest by cycling advocacy group briefly blocked Leslie Street access to Outer Harbour Terminal for 1 hour regarding truck traffic on multi-use path. Toronto Police managed. Dispersed peacefully.,Security sweep procedures reviewed. Visitor parking surveillance upgraded. Coordination with Toronto Police enhanced.,9
INC0038,2025-06-24,T004,medium,weather,Welland Canal lock delay impacted 4 vessels en route to Toronto for 12 hours. Mechanical issue at Lock 7. Vessels held at Port Colborne. Backlog cleared over following 24 hours.,Flood monitoring sensors installed at low-lying berths. Automatic alert system triggers at 75.8m lake level.,5
INC0039,2025-04-08,T004,medium,environmental,Lightning strike on crane boom at Port Lands Terminal. PLC controller damaged. Crane out of service 48 hours pending parts. Surge protection review initiated.,Scheduling dispute resolution process formalized with union representatives. Monthly joint committee meetings established.,3
INC0040,2025-09-02,T003,high,weather,"Stowaway discovered in container from overseas transshipment at Port Lands Terminal during CBSA inspection. Individual in stable condition, transported to hospital. Immigration authorities notified.",Stacking assessment revised: max 4-high when wind exceeds 45km/h. Twist-lock verification mandatory after positioning.,7
