report_id,manifest_id,inspection_date,inspector_id,inspection_type,findings_text,risk_score,outcome,penalty_amount_cad
CBSA0001,M0123,2025-06-19,INSP929,referred,Routine inspection of container from Hamilton. Declared steel coils - contents verified consistent. 24 coils matching bill of lading specifications. Weight verified within tolerance. Released for delivery.,9,released,0
CBSA0002,M0184,2025-11-05,INSP603,referred,Targeted inspection of container from US origin. Intelligence-led. X-ray revealed density anomaly. Physical exam found 8 undeclared cartons of counterfeit electronics concealed within declared machinery. Goods seized. Value $95K.,7,re_exported,0
CBSA0003,M0018,2025-05-05,INSP544,targeted,Random inspection of bulk cargo vessel carrying grain from Thunder Bay. Quality inspection per CFIA. Moisture content 12.8% (limit 14.5%). No infestation. Grade consistent with declaration. Released.,6,released,11438.2
CBSA0004,M0186,2025-11-17,INSP177,random,"Referred inspection: weight discrepancy. Declared 15,400 kg, verified 18,200 kg. Difference 2,800 kg. Additional undeclared steel plate found. Importer fined $6,200. Amended documentation required.",8,released,13501.67
CBSA0005,M0139,2025-08-11,INSP178,targeted,Targeted pharmaceutical inspection. Reefer container from international transshipment. Temperature log verified continuous 4C. Health Canada Drug Licence confirmed. All documentation in order. Priority clearance.,4,detained,0
CBSA0006,M0176,2025-09-17,INSP928,referred,"Routine documentation audit of 8 containers from mixed US origins. One container flagged for HS code mismatch between declaration and commercial invoice. Potential duty underpayment $4,800. Held for clarification.",8,released,4281.22
CBSA0007,M0153,2025-10-20,INSP713,targeted,Intelligence-led inspection. Container from overseas transshipment. Full devanning. Contents declared as auto parts confirmed. However packaging inconsistencies noted on 2 pallets. Flagged for ongoing monitoring.,7,released,0
CBSA0008,M0096,2025-07-21,INSP350,referred,Radiation portal alarm for container. Secondary screening identified naturally occurring radioactive material in ceramic tile shipment. K-40 levels within limits. False alarm documented. Released.,3,re_exported,0
CBSA0009,M0073,2025-04-11,INSP989,routine,Food safety inspection. Joint CBSA/CFIA. Canned goods from US. Labelling compliance check: 2 products missing bilingual labels per Consumer Packaging Act. Products held. Remaining cargo released.,2,released,36455.1
CBSA0010,M0136,2025-08-07,INSP528,targeted,Referred inspection based on trade analytics. Container with industrial chemicals as declared. Safety data sheets current. UN markings legible. TDG compliant. No issues found. Released.,6,released,16928.16
CBSA0011,M0114,2025-09-21,INSP905,referred,Port State Control inspection of vessel. Crew certificates valid. Safety equipment current. One deficiency: emergency lighting in cargo hold below standard. 14-day correction deadline. No detention.,6,released,38968.22
CBSA0012,M0102,2025-05-28,INSP852,targeted,Random inspection of auto parts container. Contents consistent with declaration. Three cartons with undeclared promotional items of separate commercial value. Adjusted customs value. Additional duty $800.,10,released,0
CBSA0013,M0163,2025-06-21,INSP341,targeted,"Targeted underpayment review. Declared value significantly below market for commodity type. Physical exam confirmed higher-grade product. Value reassessed upward. Importer required to post $32,000 bond.",7,released,0
CBSA0014,M0189,2025-11-28,INSP640,routine,CFIA plant health inspection of wooden packaging from overseas. ISPM-15 compliance verified. Heat treatment stamps and IPPC marks present. No pest evidence. Released without conditions.,4,released,11142.5
CBSA0015,M0173,2025-06-08,INSP314,routine,Personal effects examination for new resident from US. Household goods as declared. One restricted item (antique firearm) with valid import permit. Duty exemption confirmed for settler effects.,6,released,11770.43
CBSA0016,M0092,2025-10-18,INSP480,referred,Targeted examination. Detector dog positive indication. Full devanning under controlled conditions. 12 packages of prohibited substance discovered. Total 8kg. Street value $1.2M. RCMP investigation. Two arrests at delivery.,5,detained,0
CBSA0017,M0084,2025-09-21,INSP286,referred,"Import compliance audit of consignee covering 90 days. 32 entries reviewed. Found consistent use of incorrect tariff for goods claiming CUSMA preferential rate without adequate origin documentation. Underpayment est. $41,000.",2,released,5627.6
CBSA0018,M0140,2025-05-22,INSP714,referred,Joint CBSA/CFIA inspection of frozen meat from US. Temperature -20C verified. USDA export certificates validated. No signs of temperature abuse. Bilingual labelling confirmed. Released.,8,detained,0
CBSA0019,M0070,2025-11-11,INSP987,routine,Vessel stores verification for outbound vessel. Declared stores consistent with physical count. All bonded stores properly sealed. No discrepancies. Clean inspection.,4,penalty_assessed,37102.37
CBSA0020,M0150,2025-05-09,INSP619,random,Routine courier shipment screening at Port Lands Terminal. 150 packages X-rayed. 5 flagged secondary. Results: 1 undeclared commercial quantity of supplements. 1 intellectual property concern. Remainder cleared. Compliance rate 98.7%.,8,released,0
CBSA0021,M0197,2025-09-20,INSP802,targeted,"Value anomaly flagged by analytics. Declared used equipment at $8K. Examination revealed near-new CNC machine valued at $165K. Significant undervaluation. Bond of $52,000 required.",7,penalty_assessed,0
CBSA0022,M0041,2025-06-09,INSP115,random,Oversized project cargo inspection. Wind turbine blade from Hamilton. 65m length. Documentation verified. Engineering transport certificates confirmed. Import permit valid. Released for delivery to Ontario wind project.,5,released,25025.88
CBSA0023,M0066,2025-05-04,INSP378,random,Targeted inspection matching previous smuggling profile. Container from Great Lakes route. Full exam: aggregates as declared. All material tested genuine. No concealment detected. Lookout cleared for this shipment.,5,released,32645.55
CBSA0024,M0155,2025-11-21,INSP710,random,Post-release verification at importer warehouse. Goods classified under tariff 7208.51 (steel plate) verified correct. CUSMA origin documentation complete. Clean audit.,10,penalty_assessed,32149.66
CBSA0025,M0155,2025-07-14,INSP229,targeted,Expanded inspection of general cargo vessel. Deficiency found: cargo hold ventilation partially inoperable. Crew enclosed space entry records incomplete. Vessel detained 3 days until corrected.,3,detained,0
